accX,accY,accZ,gyroX,gyroY,gyroZ
0.15374130010604858,0.017021916806697845,-0.2950805425643921,-1.9152650833129883,-3.4927902221679688,-0.942716658115387
0.25037533044815063,-0.18101373314857483,-0.22152885794639587,-2.4226293563842773,-3.50553035736084,-0.6975862383842468
0.35263222455978394,-0.4269331693649292,-0.07246065139770508,-3.0052804946899414,-3.4376771450042725,-0.46740883588790894
0.4187586307525635,-0.5992048978805542,0.09415075182914734,-3.3499538898468018,-3.304309606552124,-0.1577010303735733
0.44053590297698975,-0.6835219264030457,0.21930155158042908,-3.3106894493103027,-3.0241806507110596,0.24812866747379303
0.43608492612838745,-0.695715069770813,0.2718227207660675,-2.9091649055480957,-2.657757520675659,0.6575875282287598
0.4269641041755676,-0.6389600038528442,0.27265745401382446,-2.331350088119507,-2.301837205886841,1.0820080041885376
0.42878425121307373,-0.5861712098121643,0.24009734392166138,-1.994306206703186,-1.9667264223098755,1.4937728643417358
0.4407980442047119,-0.5832626223564148,0.1998140513896942,-2.002814292907715,-1.679564356803894,1.7424992322921753
0.4583283066749573,-0.5615552663803101,0.19791236519813538,-2.2923715114593506,-1.4566843509674072,1.8837990760803223
0.48466646671295166,-0.4629363417625427,0.2978232800960541,-2.5989198684692383,-1.2511262893676758,1.9887561798095703
0.5021935701370239,-0.276633620262146,0.4584554433822632,-2.4928078651428223,-1.0323305130004883,2.029364585876465
0.460907518863678,0.02223297953605652,0.5827093720436096,-1.5653324127197266,-0.6836147308349609,2.167456865310669
0.354164183139801,0.4050547480583191,0.6606706976890564,0.4016173779964447,-0.09500157833099365,2.4250874519348145
0.1906854510307312,0.7789198756217957,0.60578453540802,2.9226181507110596,0.6511345505714417,2.260434150695801
0.041354238986968994,1.0111279487609863,0.3651103377342224,4.844192028045654,1.2918992042541504,1.4720628261566162
0.040821611881256104,1.074998378753662,0.22906875610351562,6.5388946533203125,1.5095798969268799,0.5770177245140076
0.21718883514404297,1.0026443004608154,0.36085861921310425,7.640248775482178,1.5009413957595825,-0.02942456677556038
0.41942423582077026,0.7780369520187378,0.6531124114990234,7.792021751403809,1.4002171754837036,-0.545452356338501
0.46698832511901855,0.6559257507324219,0.9918820261955261,7.8263397216796875,1.1502829790115356,-1.038211703300476
0.31039875745773315,0.6560682654380798,0.9082540273666382,8.053704261779785,0.83128422498703,-1.4899461269378662
0.06736898422241211,0.6477282047271729,0.4495689272880554,8.909994125366211,0.42430344223976135,-1.8678287267684937
-0.15756696462631226,0.6633788347244263,-0.033480286598205566,10.076071739196777,0.0087824035435915,-1.8558534383773804
-0.25460314750671387,0.5868607759475708,-0.3721642792224884,10.925962448120117,-0.38280269503593445,-1.5555862188339233
-0.1968327760696411,0.4411812424659729,-0.47050830721855164,10.825471878051758,-0.6364052891731262,-1.3820043802261353
-0.11354309320449829,0.2923547923564911,-0.38930338621139526,9.707708358764648,-0.7092112898826599,-1.3671646118164062
-0.12870031595230103,0.12825073301792145,-0.11619681119918823,7.61901330947876,-0.48881658911705017,-1.2013624906539917
-0.2187497615814209,-0.1185593232512474,0.2772616147994995,4.8434672355651855,-0.033154260367155075,-0.6060398817062378
-0.2728578448295593,-0.4102357029914856,0.643271267414093,1.697258710861206,0.1649913787841797,0.013555878773331642
-0.16955947875976562,-0.6353605389595032,0.8439047336578369,-1.5052495002746582,0.0655159205198288,0.37839534878730774
0.05712890625,-0.7797520756721497,0.8816669583320618,-4.464578151702881,-0.22312699258327484,0.4600151479244232
0.20935171842575073,-1.03044593334198,0.8580005168914795,-7.17592191696167,-0.45701006054878235,0.412179172039032
0.1681579351425171,-1.3410038948059082,0.7260438203811646,-9.235838890075684,-0.719304621219635,0.49818184971809387
